time	r_thigh_gx	r_thigh_gy	r_thigh_gz	r_thigh_ax	r_thigh_ay	r_thigh_az	r_thigh_mx	r_thigh_my	r_thigh_mz	r_shin_gx	r_shin_gy	r_shin_gz	r_shin_ax	r_shin_ay	r_shin_az	r_shin_mx	r_shin_my	r_shin_mz	r_foot_gx	r_foot_gy	r_foot_gz	r_foot_ax	r_foot_ay	r_foot_az	r_foot_mx	r_foot_my	r_foot_mz	l_thigh_gx	l_thigh_gy	l_thigh_gz	l_thigh_ax	l_thigh_ay	l_thigh_az	l_thigh_mx	l_thigh_my	l_thigh_mz	l_shin_gx	l_shin_gy	l_shin_gz	l_shin_ax	l_shin_ay	l_shin_az	l_shin_mx	l_shin_my	l_shin_mz	l_foot_gx	l_foot_gy	l_foot_gz	l_foot_ax	l_foot_ay	l_foot_az	l_foot_mx	l_foot_my	l_foot_mz	up_torso_gx	up_torso_gy	up_torso_gz	up_torso_ax	up_torso_ay	up_torso_az	up_torso_mx	up_torso_my	up_torso_mz	lo_torso_gx	lo_torso_gy	lo_torso_gz	lo_torso_ax	lo_torso_ay	lo_torso_az	lo_torso_mx	lo_torso_my	lo_torso_mz	gaitStageRight	gaitStageLeft	step_count
3.56885	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	0	13	384	-474	-4036	2461	-838	-1929	None	None	None	None	None	None	None	None	None	0	0	0
3.58934	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	5	13	385	-480	-4045	2461	-821	-1909	None	None	None	None	None	None	None	None	None	0	0	0
3.6087	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	7	0	14	387	-479	-4037	2452	-838	-1960	None	None	None	None	None	None	None	None	None	0	0	0
3.6291	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	1	12	385	-480	-4038	2462	-838	-1936	None	None	None	None	None	None	None	None	None	0	0	0
3.64866	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	0	11	385	-471	-4038	2439	-818	-1895	None	None	None	None	None	None	None	None	None	0	0	0
3.66899	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	-1	14	389	-481	-4039	2426	-826	-1898	None	None	None	None	None	None	None	None	None	0	0	0
3.68861	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	1	11	386	-478	-4046	2443	-804	-1901	None	None	None	None	None	None	None	None	None	0	0	0
3.70887	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	2	13	381	-474	-4042	2426	-810	-1904	None	None	None	None	None	None	None	None	None	0	0	0
3.72799	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	1	15	384	-478	-4048	2431	-819	-1901	None	None	None	None	None	None	None	None	None	0	0	0
3.74881	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	0	12	383	-475	-4035	2438	-826	-1918	None	None	None	None	None	None	None	None	None	0	0	0
3.7682	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	2	13	387	-473	-4045	2430	-823	-1919	None	None	None	None	None	None	None	None	None	0	0	0
3.78861	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3	2	15	387	-479	-4043	2412	-819	-1903	None	None	None	None	None	None	None	None	None	0	0	0
3.80798	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	0	14	387	-473	-4040	2435	-839	-1927	None	None	None	None	None	None	None	None	None	0	0	0
3.82836	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	2	13	388	-477	-4043	2467	-857	-1869	None	None	None	None	None	None	None	None	None	0	0	0
3.84778	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	0	12	385	-483	-4047	2424	-875	-1911	None	None	None	None	None	None	None	None	None	0	0	0
3.86825	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3	1	13	387	-475	-4043	2422	-867	-1906	None	None	None	None	None	None	None	None	None	0	0	0
3.88754	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	-1	12	389	-476	-4039	2445	-865	-1899	None	None	None	None	None	None	None	None	None	0	0	0
3.90785	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	8	-1	12	388	-476	-4043	2463	-853	-1904	None	None	None	None	None	None	None	None	None	0	0	0
3.92718	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	1	14	389	-470	-4040	2449	-859	-1863	None	None	None	None	None	None	None	None	None	0	0	0
3.94767	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	-1	12	385	-480	-4040	2443	-845	-1849	None	None	None	None	None	None	None	None	None	0	0	0
3.9671	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	2	10	381	-472	-4043	2421	-844	-1920	None	None	None	None	None	None	None	None	None	0	0	0
3.98761	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2	1	13	386	-480	-4048	2422	-849	-1912	None	None	None	None	None	None	None	None	None	0	0	0
